date,RV_Bitcoin,RV_Ethereum,RV_Ripple,V_Bitcoin,V_Ethereum,V_Ripple,R_Bitcoin,R_Ethereum,R_Ripple
2015-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-08,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.06645682809929176,-0.7280415162454874,0.039744847890088586
2015-08-09,0.0,-0.0,0.0,0.0,0.0,0.0,0.015632183908045993,-0.06826801181428999,0.039169419537517625
2015-08-10,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.002301192092952875,0.009333278244528787,-0.006584922797456705
2015-08-11,0.0,0.0,-0.0,0.0,0.0,0.0,0.022384391424357997,0.5103437372961743,-0.018171428571428727
2015-08-12,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.014830430119457061,0.14018691588785037,-0.037248283086951606
2015-08-13,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.008634281852991976,0.5,-0.014992141216297772
2015-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.006058770069675923,0.0,0.023321468025039982
2015-08-15,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.015545016561276714,-0.07650273224043724,0.009955619527407977
2015-08-16,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.011623016631619243,-0.07100591715976323,-0.01247030878859845
2015-08-17,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0020502108235657124,-0.23566878980891726,-0.0016837041491281068
2015-08-18,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.18179703853011864,-0.09166666666666656,-0.09023009275990856
2015-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.07390562819783963,0.15596330275229353,0.02727754237288149
2015-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.03824775013234505,0.1587301587301586,0.014694508894044889
2015-08-21,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.011812194603781578,-0.04109589041095896,0.0011432926829268997
2015-08-22,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.009373521950380548,-0.014285714285714346,-0.020175104682147116
2015-08-23,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.009635834888667039,-0.021739130434782483,-0.022015022015022034
2015-08-24,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.07744225796555193,-0.08888888888888902,-0.020524364406779627
2015-08-25,0.0,-0.0,-0.0,0.0,0.0,0.0,0.05277909738717357,-0.07317073170731714,-0.036636474246316
2015-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.019042461982762493,0.01754385964912286,0.0513612124614089
2015-08-27,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.004693796218394386,-0.008620689655172376,0.007875066737853764
2015-08-28,0.0,0.0,-0.0,0.0,0.0,0.0,0.029496818970503158,0.034782608695652195,-0.01562706926234947
2015-08-29,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.007000864304235077,-0.008403361344537785,0.04278218754204244
2015-08-30,-0.0,0.0,0.0,0.0,0.0,0.0,-0.004439028636086695,0.1186440677966103,0.03857566765578624
2015-08-31,0.0,0.0,-0.0,0.0,0.0,0.0,0.005682811680363775,0.030303030303030276,-0.02062111801242228
2015-09-01,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.008432582804485778,-0.007352941176470562,-0.008751902587519012
2015-09-02,0.0,-0.0,-0.0,0.0,0.0,0.0,0.005085042959845687,-0.04444444444444451,-0.014715291106845885
2015-09-03,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.00915910676901599,-0.023255813953488413,-0.03493506493506493
2015-09-04,0.0,0.0,-0.0,0.0,0.0,0.0,0.0137336033101505,0.007936507936507908,-0.01022742564930701
2015-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.020495006513243652,0.0551181102362206,0.0686607749830046
2015-09-06,0.0,-0.0,0.0,0.0,0.0,0.0,0.020508892860181982,-0.02985074626865669,0.003944020356234201
2015-09-07,0.0,-0.0,0.0,0.0,0.0,0.0,4.169446297530577e-05,-0.03846153846153855,0.0034216195665950355
2015-09-08,0.0,-0.0,-0.0,0.0,0.0,0.0,0.015676464456952255,-0.008000000000000007,-0.010987623137156066
2015-09-09,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.022330774598743997,-0.024193548387096753,-0.019537734644362037
2015-09-10,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0013015913003318058,-0.03305785123966942,-0.0019536337587914288
2015-09-11,0.0,-0.0,0.0,0.0,0.0,0.0,0.0068349547131836275,-0.15984786324786315,0.10191830875636176
2015-09-12,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.02032401815834417,0.05800943663032143,-0.02925153955471349
2015-09-13,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.020065467839986417,-0.09999711538461542,0.040868610467244215
2015-09-14,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0005639668561017164,-0.06450940862369048,-0.13220815752461312
2015-09-15,-0.0,0.0,0.0,0.0,0.0,0.0,-0.001474158862296071,0.07855901290739631,0.042679632631010156
2015-09-16,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0052540165002171735,-0.039426732033756684,-0.03808290155440419
2015-09-17,0.0,-0.0,-0.0,0.0,0.0,0.0,0.003142869614561894,-0.0363149337228208,-0.007271747912739102
2015-09-18,0.0,-0.0,0.0,0.0,0.0,0.0,0.013750489534833044,-0.023501797579815853,0.021296798697775454
2015-09-19,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.006352749281023251,0.033625986165857435,-0.006242528888298793
