date,RV_BTC,V_BTC,R_BTC,R5_BTC,RV_ETH,RV_XRP,V_ETH,V_XRP,R_ETH,R_XRP,R5_ETH,R5_XRP
2015-08-08,-0.007210171106049146,0.2871190698343433,-0.025112128951271462,-0.04492475013823438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-09,-0.002662999821244941,0.1146643071546194,-0.023224313540341823,-0.06891016292553931,-0.0,0.0,0.0,0.0,-0.3831790430285782,0.04314308518204735,0.0,0.0
2015-08-10,7.605283481487952e-05,0.19576511368708616,0.00038849023394660337,-0.0646396998126696,-0.0,0.0,0.0,0.0,-0.11713495756242698,0.01439697441987109,0.0,0.0
2015-08-11,0.000396906335358013,0.05220180577538791,0.007603306618660044,-0.04479882439627925,0.0,-0.0,0.0,0.0,0.3116796984605257,-0.03867808212725876,0.0,0.0
2015-08-12,0.0011802409885136574,0.1700259892074225,0.0069415328445689975,-0.03347735709789623,0.0,-0.0,0.0,0.0,0.28565879652173765,-0.046922551668828194,0.0,0.0
2015-08-13,-0.0030855133247059954,0.2739162797570103,-0.011264439366083456,-0.019748490493405657,0.0,-0.0,0.0,0.0,0.4184319622914834,-0.006005207660583989,0.30261319503391326,-0.03631971237063025
2015-08-14,-1.1830723227816224e-05,0.010505228556416668,-0.0011261747580532109,0.0024282837638835986,0.0,0.0,0.0,0.0,0.26277262704365234,0.005149818191549249,1.6667451352352654,-0.07141879223942205
2015-08-15,0.0005327569827920314,-0.3868134879678191,-0.0013772968093510587,0.0006588962783364849,-0.0,0.0,0.0,0.0,-0.1540185106117633,0.01142135104619757,1.5553362211469444,-0.07414268438011629
2015-08-16,-0.004054127844880608,0.15450947315790842,-0.02623870085128888,-0.032949871795643904,-0.0,-0.0,0.0,0.0,-0.2118417020583443,-0.019603727690314154,0.5354430270527273,-0.05577201138511079
2015-08-17,-0.0002064264747308725,0.09914833024217452,-0.002081996481702375,-0.041615921320063975,-0.0,-0.0,0.0,0.0,-0.00812963663641919,-0.014624311060243866,0.18457590558796078,-0.023773664536129058
2015-08-18,-0.026961072485146526,0.7176352679589844,-0.03756932482126485,-0.06711331861766101,-0.0,-0.0,0.0,0.0,-0.10787194619103646,-0.007414838914881594,-0.2549565821021663,-0.025158097497291254
2015-08-19,-0.0738268705614662,1.1353252564236431,-0.06502706615901965,-0.12679281868062595,0.0,0.0,0.0,0.0,0.05223256990122982,0.005687658900472403,-0.37917647760705453,-0.02463647410300629
2015-08-20,0.006379120852007763,0.6696059333086879,0.009526679102867195,-0.11725825668733147,0.0,-0.0,0.0,0.0,0.0980954987938838,-0.03175728923938015,-0.19416260989582745,-0.06627576794312162
2015-08-21,0.0002630031081533026,0.1814934760809006,0.001449105024778241,-0.092158489373813,0.0,0.0,0.0,0.0,0.07246128791712092,0.012200859219829496,0.09651754920287337,-0.03598524733700115
2015-08-22,-0.011287476439524815,0.5711588991107508,-0.019762410175344414,-0.1082429907251683,-0.0,-0.0,0.0,0.0,-0.040395405300716614,-0.010242652095104887,0.06084758376611665,-0.031698573806343
2015-08-23,0.0006116824218002014,0.3171409711236066,0.0019287398270650962,-0.0716453666974457,-0.0,-0.0,0.0,0.0,-0.04505179382286295,-0.014032253022600027,0.13554830253296157,-0.0381540919517207
2015-08-24,-0.07163315721922847,1.340848748239832,-0.0534237417257265,-0.0601241775704966,-0.0,-0.0,0.0,0.0,-0.04859591368618155,-0.029137728990528244,0.026736223663928804,-0.071461308703068
2015-08-25,-0.01597623498202401,1.4225939450803828,-0.011230354970420795,-0.07944910961505225,-0.0,-0.0,0.0,0.0,-0.09784847845222455,-0.012997066664934609,-0.15647441645647375,-0.0534703728311825
2015-08-26,0.04089567333385352,0.7641162591087394,0.05352022397946876,-0.031584355753302214,-0.0,0.0,0.0,0.0,-0.013065505214834627,0.02554787913037182,-0.223744012942659,-0.04098930282944613
2015-08-27,-0.0001154362036768978,0.15686377144699826,-0.0007359009834587704,-0.012787311701847548,0.0,0.0,0.0,0.0,0.017783606122351303,0.008451326405599424,-0.176681080785288,-0.022876049724732228
2015-08-28,0.006760938886721377,0.5694893155948879,0.01187193280291643,-0.002990161587507201,-0.010057619049927474,-0.002111735813719626,-1.2227020510315976,-0.41311162278698177,0.008225731723801255,0.005111780199920757,-0.13074728619017317,-0.003903731995337778
2015-08-29,0.0008970198436160055,0.16090823484055505,0.0055747292517680505,0.059151747742752114,0.0004531212364012435,0.006046517479673243,-1.335925068192462,-0.44837559689612894,-0.00033918162566881627,-0.013485384845941972,-0.08665740271519506,0.012155437315810591
2015-08-30,-0.000983253075753849,0.1107210644472314,-0.008880451797159683,0.06166892053977024,-0.002867822385898659,-0.017267209212373028,-0.02614892996367324,-0.31901750012949304,0.10967264778645669,0.05412621315559196,0.12343799689697277,0.08098926784076266
2015-08-31,0.0003377717503400947,0.10634295871737187,0.003176249320256286,0.010935548730128364,0.0011418781447560362,-0.017920210363816937,0.046179367337384036,0.8940408416159933,0.024727020108645803,-0.02004406233995515,0.16645762907259254,0.03293261399517222
2015-09-01,-0.001383124510256759,0.4888089897236832,-0.002829580755130179,0.008817414684361147,-0.015547812434265012,-0.010724479416474232,-0.6313662447091017,-0.7238050586329576,0.024625663098964967,0.014816806388075587,0.17429914814492964,0.03945262314729314
2015-09-02,0.0006754945594024383,0.3538957300345693,0.0019087389365688434,-0.0011157034824866852,0.02014284622301583,0.007267697010734145,-0.5008210952603118,-0.9638287160580283,-0.04021964412770229,-0.007540444572411542,0.11787392331287161,0.026368120023039454
