date,RV_Bitcoin,V_Bitcoin,R_Bitcoin,R5_Bitcoin
2011-12-22,0.0,0.0,0.0,0.0
2011-12-23,0.0,0.0,0.0005827622491410001,0.0
2011-12-24,0.017153990241122234,0.4995792507861996,0.03433687490848869,0.0
2011-12-25,0.008062297920124601,-1.3414426155779537,-0.00601016981755198,0.0
2011-12-26,-0.0008928396499090123,0.4818400132440406,-0.001852979464901372,0.0
2011-12-27,0.0019286317072780622,0.5650110472094383,0.0034134407049268845,0.03031825455524939
2011-12-28,0.0032029450069585496,-0.32282272952645386,-0.009921683679637194,0.019501635677985796
2011-12-29,-0.006066379357554488,-0.32192224531084435,0.018844237842889244,0.004231205692840634
2011-12-30,-0.008537336687542614,0.32009944191382544,-0.026670889010300014,-0.016642387089900734
2011-12-31,0.03841771822550122,0.7076270735439572,0.05429091065311642,0.03866962670175833
2012-01-01,-0.05932076727505105,-0.6090520716924068,0.09739851489251672,0.13595698399824863
2012-01-02,-0.022715116031260543,-1.0770767482213852,0.02108959836777724,0.17153748489783727
2012-01-03,0.05294219961372997,0.9466112018451422,0.055928135554,0.2141791121858967
2012-01-04,0.003980551934716085,1.1718498545710379,0.003396810537791284,0.2516870551114423
2012-01-05,0.010022582172089105,0.05886147127062635,0.17027406817625157,0.3893858775291812
2012-01-06,-0.051897826580159484,-0.8553496750440495,0.06067439796184737,0.3428904898138079
2012-01-07,-0.05840726005766789,-1.71286782645587,0.03409910511222547,0.3599999999999999
2012-01-08,-0.013365602481211769,-0.757384140602003,0.01764705882352935,0.31069525794373765
2012-01-09,-0.06095143324968654,1.4323504409644716,-0.04255343630057806,0.25067237367712836
2012-01-10,0.0014227531611257873,1.1744972319845974,0.001211372085331952,0.06999500145286341
2012-01-11,0.022915640584946644,0.3631117032433906,0.06310906638441915,0.072451064357137
2012-01-12,0.00653012414481111,0.21468256339005443,0.03041758045783438,0.06863300183823529
2012-01-13,0.018242475940546864,-0.5947853216003374,-0.03067068953797214,0.0178944476156071
2012-01-14,0.08614837629842331,-1.0112058348738184,-0.08519370965573314,-0.027437896912656412
2012-01-15,-0.06832947690926645,-0.6234207101067035,0.10960411773547163,0.07785323302062075
2012-01-16,0.004860416907353195,-0.11905004110096762,-0.04082667139300711,-0.027523980411282456
2012-01-17,-0.10580326880053197,0.994132029209247,-0.10642778392794572,-0.15667437320438826
2012-01-18,0.00587840412763465,1.5288555867892608,0.0038449701714338147,-0.12664542427595382
2012-01-19,0.01564369815932169,0.9697151515844347,0.016132261245749513,-0.029910737096235374
2012-01-20,-0.02261230587791546,-0.2810556835047695,0.0804548963249545,-0.055394913173426596
2012-01-21,0.06589918934377897,-0.9636959203748638,-0.06838172493056227,-0.08253145144347473
2012-01-22,0.0026252602212606885,-0.13482156173877868,-0.019472109560243922,0.006749632856102528
2012-01-23,0.004785149945333919,0.12255611722471826,0.039044562227439794,0.04205107623835791
2012-01-24,0.00020330608565632827,0.038574593825696724,0.005270466011255692,0.030912225671691607
2012-01-25,0.004120806955765607,-0.1283365167758994,-0.03210938756395687,-0.07649058848535284
2012-01-26,0.01067397849062345,-0.7397682578303275,-0.01442881385844974,-0.023007286915302516
2012-01-27,-0.006682561197797392,0.10058294724197303,-0.06643831167246583,-0.06980415793987349
2012-01-28,0.1265971028041464,-0.8764965897391548,-0.14443536265420232,-0.2340630063385709
2012-01-29,-0.1638365073063122,-1.314256609745966,0.12466097266802434,-0.14309683471389245
2012-01-30,0.0013086817295416523,0.5318623886368421,0.002460564532295262,-0.1124909986881556
2012-01-31,0.06541531829754813,1.4621048235203276,0.04474051192858175,-0.05920889184904454
2012-02-01,-0.001894767537629948,-0.09035293552274126,0.020970735778175653,0.02887704359763088
2012-02-02,0.029247716797047647,0.7250348970260028,0.04033973663477153,0.2510821811038695
2012-02-03,-0.008369464842532941,1.6730543398029418,-0.00500250628053045,0.10684345317180566
2012-02-04,0.014989203654720763,-1.1223892766779162,-0.013354728137715544,0.08938136661085982
2012-02-05,0.02675899183342754,-0.9423775493139797,-0.028395192407657865,0.013120637149162784
2012-02-06,0.030346508054136096,-0.5692647613262842,-0.053308249720980805,-0.0605872278057924
2012-02-07,0.021279143928635794,0.9934974899793936,0.021418417402420564,-0.0776729242640779
2012-02-08,0.005933030756005572,0.7316815547143332,0.008108760864310671,-0.06551924874104864
2012-02-09,-0.006541731077950198,-0.5784948392639659,0.011308192630159697,-0.04216027121926624
2012-02-10,0.01135223512810314,0.6358260107103444,0.01785431067128007,0.0034339983224305204
2012-02-11,0.09253039156007889,-1.5141526008926274,-0.06111034746796995,-0.004835736926932621
2012-02-12,-0.031166187810245913,-0.8354647249213265,0.03730401401828276,0.010641542296115025
2012-02-13,-0.00014967363413145396,1.654828734980386,-9.044660088841638e-05,0.0024217350690354245
2012-02-14,-0.05422620624878735,0.5510904605590508,-0.09839801290295946,-0.10632047200469574
2012-02-15,0.012532558765818033,-0.30826843300873286,-0.04065469384425424,-0.15769157589522542
2012-02-16,0.0059022931261407605,-0.09024885132247817,-0.06540020221476972,-0.16154014402213002
2012-02-17,0.018159714339314462,1.0923659916514836,0.016624203314733244,-0.17825577499417244
2012-02-18,-0.0441533047251583,0.6981802539659707,-0.06324055209861368,-0.2301537034866622
2012-02-19,0.015193546074227316,-0.8488442661348703,-0.017899097255388963,-0.1614185043949241
2012-02-20,0.01055617482046363,0.19979355693658896,0.05283541162347882,-0.07969707211777455
2012-02-21,-0.028309757475555638,1.2015344173239288,-0.02356133712641162,-0.03849822943523673
