date,RV_Bitcoin,V_Bitcoin,R_Bitcoin,R5_Bitcoin,btc_tot,turnover,price,turnover_pct_change,log_btc_tot
2017-01-19,-0.00035892778067794914,-0.019859979224590596,0.01807291823515733,0.0822536119925632,16112887.5,0.0006885546304223871,894.997949379,0.6761923406297716,16.595129975591284
2017-01-20,0.0007051283309116546,-0.5360005032220103,-0.0013155366957176007,0.09457855424776906,16115200.0,0.00041070714381825853,893.820546734,0.5631318203971369,16.595273483952056
2017-01-21,-0.01761421769684015,-0.707277064974611,0.02490426817031377,0.10604231186588131,16117512.5,0.0003639291131655707,916.080493326,-0.049353007073356436,16.595416971721132
2017-01-22,-0.00030350420343351733,-0.5064060451422661,0.0005993297401263309,0.04326500089966312,16119462.5,0.00044459705023663167,916.62952761,-0.41602717553506574,16.595537950814386
2017-01-23,-0.004727542831735327,-1.1956483822514095,0.003953957452636159,0.04680185563533179,16121412.5,0.00021801696529134774,920.253841762,-0.6858814957422192,16.59565891527347
2017-01-24,0.003788985705409007,-0.20617919616736735,-0.018377148499178708,0.009323206697612774,16123275.0,0.0005833211034978936,903.342200255,-0.15283250199034903,16.595774438179504
2017-01-25,0.007735697312844431,-0.6829644762698539,-0.011326646672890628,-0.0007945492063200499,16125137.5,0.0003281556353928765,893.110362328,-0.200998472190958,16.595889947741536
2017-01-26,-0.010387371284367227,-0.6364985707725745,0.016319551624065953,-0.009164009489516123,16127168.75,0.00032026061734487645,907.685522992,-0.11999176279372603,16.596015907726347
2017-01-27,-0.006900076370838224,-0.61567768505763,0.011207286764327584,0.0013404404865766661,16129200.0,0.00029949006536034026,917.85821494,-0.32637864960880847,16.59614185184724
2017-01-28,0.0007003223045964881,-1.9307357839815893,-0.00036272301492867864,-0.0029650026950994723,16131193.75,7.289377017308469e-05,917.525286641,-0.665650927322684,16.596265455422447
2017-01-29,0.004292176870042859,-1.7655269840368746,-0.002431102389740203,0.01323140717396587,16133187.5,8.361737569404683e-05,915.294688724,-0.8566529220481927,16.596389043721697
2017-01-30,-0.002427222918549635,-0.8397500079782976,0.002890411307518992,0.027801608358095864,16134993.75,0.00019344212912570852,917.940266842,-0.4105171197376679,16.596500996111445
2017-01-31,0.012292246120797047,0.36108200282920055,0.034042810288198,0.04572509879103337,16136800.0,0.0005891565757919785,949.189533202,0.8396160623069626,16.59661293596926
2017-02-01,0.003975300922222886,0.17790504726745038,0.022345071054935772,0.057243074116228865,16138981.25,0.00043090696766439333,970.399240766,0.43880220916822377,16.596748099235267
2017-02-02,0.009412713771514574,0.38189023782891685,0.024647694125481623,0.08369475905359591,16141162.5,0.0005123348790082498,994.317344432,6.028513929128946,16.596883244234633
2017-02-03,0.010341587901753003,0.6853669924575527,0.015089124535558218,0.10272760795441793,16142993.75,0.0006769515240195147,1009.32072267,7.095823606046398,16.596996689974876
2017-02-04,0.000478646989090561,0.035329977693617565,0.013547899555482301,0.11444604337864006,16144825.0,0.0003562929508179866,1022.99489844,0.8418580917626757,16.597110122846644
2017-02-05,0.0020082072056754273,-0.29182985996065103,-0.006881431550377348,0.07033968826307246,16146600.0,0.00026929325370294676,1015.95522907,-0.5429173418951538,16.597220059153376
2017-02-06,-0.0006949359279954175,-0.13381544552945535,0.005193241521902259,0.052382655559246816,16148375.0,0.000314635271643122,1021.23132995,-0.2698301599797479,16.59732998337544
2017-02-07,-0.0005286598526309313,-0.024240517326979294,0.021808934417523407,0.04946705686412134,16150231.25,0.00033263502807738435,1043.50329705,-0.3507468616595433,16.597444926415875
2017-02-08,0.001217875029412574,0.5976787275900692,0.0020376750471331473,0.03597359510656872,16152087.5,0.0005964098852200993,1045.62961768,-0.11897696650594092,16.597559856245923
2017-02-09,-0.07466111469755274,1.5926497026684867,-0.04687855375382166,-0.025789850017074567,16154062.5,0.0015568882542085001,996.612013441,3.3696858179039344,16.597682123987667
2017-02-10,-0.013756139621840585,0.7234928203378956,-0.019013512277034073,-0.03769094275645646,16156037.5,0.0006642278509814055,977.662918688,1.4665595660042232,16.597804376781834
2017-02-11,-0.006954576546725515,-0.22270791230519116,0.03122734380983827,-0.012767523662477465,16157781.25,0.00027680239926196554,1008.19273478,-0.12024358293837045,16.59791230274473
2017-02-12,0.004348194991296922,-0.748422984919932,-0.005809809531386989,-0.039451691380738674,16159525.0,0.00016609382752772744,1002.33532702,-0.5006724682973337,16.598020217060867
2017-02-13,0.001882264213402301,-0.23998296300221167,-0.007843324333756785,-0.048923568016849606,16161600.0,0.0002813620166635729,994.473685959,-0.5282405210977699,16.598148616057056
2017-02-14,0.0026845851761196217,0.21914869104946,0.012250062563749164,0.010078182134611202,16163675.0,0.0004182902751441117,1006.65605083,-0.7313292883972816,16.59827699856906
2017-02-15,-0.0013247151362735204,-0.5469689569422798,0.0024219201463993034,0.03214929410862788,16165487.5,0.00019149809122861281,1009.0940914,-0.7116981906951481,16.598389126435155
2017-02-16,0.0018520989354599575,0.0936943626406368,0.019767453273188407,0.020679158062520075,16167300.0,0.00037087850970106325,1029.0413117,0.3398673952607765,16.598501241730002
2017-02-17,0.0026152492829295145,0.1314861470103219,0.019889922568985252,0.04706362772850636,16169187.5,0.00037633446987054854,1049.50886371,1.2657944336174918,16.598617982919173
2017-02-18,-0.002707146807503477,-0.25772205927272385,0.010504133077094302,0.06642645195513341,16171075.0,0.0002767255303824885,1060.53304448,-0.016478721385581818,16.598734710481427
2017-02-19,0.00815480903023289,-1.0052908135692258,-0.008111890529746035,0.04497471172270906,16172837.5,0.00014041134782934658,1051.93011652,-0.6643207930641675,16.598843695441225
2017-02-20,-0.006877308758380878,-0.5523397744214664,0.012451228531539904,0.05542976405936351,16174600.0,0.00022655111631570486,1065.0279388,0.18304634193583325,16.598952668524593
2017-02-21,0.012821788328143301,0.3450571120287531,0.03715845256096295,0.07342894437850189,16176325.0,0.0005189975916031608,1104.60272894,0.3993735900780149,16.59905931153413
2017-02-22,0.01384504990612856,0.7067299142465728,0.01959029839693205,0.07311359146481955,16178050.0,0.0007215387061914137,1126.24222601,0.9172804086737216,16.599165943172146
2017-02-23,0.01728774181957504,0.7127514094963452,0.024254938803686343,0.08771637836670387,16180006.25,0.0007264050692316635,1153.55916228,1.625001994675484,16.599286855873903
2017-02-24,0.022422360064839067,1.2191950170620993,0.018391118525787897,0.11677989546149159,16181962.5,0.0012111158350416398,1174.77440556,7.625484006560553,16.599407753957543
2017-02-25,-0.0005799286546767271,0.04154109387877103,-0.013960360706175123,0.08764670757386539,16184118.75,0.00038546662482873834,1158.37413111,0.7014554202927898,16.59954099529662
2017-02-26,-0.004546240660712694,-0.5999242833598517,0.007578024072057321,0.05662632146493429,16186275.0,0.00021848672497779754,1167.15231816,-0.5790216977637572,16.599674218884807
2017-02-27,-0.005980648296412005,-0.3416479782003261,0.01750529398100298,0.05446558047935879,16188131.25,0.0002866775366532811,1187.58366261,-0.6026858515096352,16.599788892802696
2017-02-28,0.0006618355242239274,0.16505663546353588,0.004009748062325791,0.0336232530487115,16189987.5,0.0004671080873156943,1192.3455739,-0.3569592131153958,16.599903553571988
2017-03-01,-0.0003655160203709205,-0.024609581107022827,0.014852590086005701,0.030031798635570484,16191868.75,0.0003713633006628713,1210.05499395,-0.6933709477507547,16.600019745181733
2017-03-02,0.008906058015803167,0.29229809105517646,0.03046909401170872,0.07644347351330083,16193750.0,0.0004793659553272096,1246.92427332,0.24359911974270254,16.60013592329256
2017-03-03,0.006477407278527038,0.2943995973461746,0.022002092859218392,0.09185339149136107,16195518.75,0.0004658990748981103,1274.35921697,1.1323907662831902,16.60024514156577
2017-03-04,0.0017455632211490553,-0.15287224870000937,-0.011418444066813471,0.06081622473760673,16197287.5,0.00030568279441974466,1259.80801753,0.0662948970063506,16.600354347911654
2017-03-05,0.00048681640288623316,-0.6938921629990782,-0.0007015735712911919,0.05583833837889007,16199093.75,0.00018680164713905675,1258.92416952,-0.600089032470964,16.60046585727981
2017-03-06,-0.00479807805372839,-0.362624833657609,0.013231520867814428,0.05415180080047466,16200900.0,0.0002623093740539106,1275.58165094,-0.2936583297657659,16.600577354215016
2017-03-07,-0.026476163833146105,0.8963371687973414,-0.029538174645452275,-0.007234582045613225,16202743.75,0.0008918266041700499,1237.90329736,0.860429582574965,16.600691153145544
2017-03-08,-0.033062767291799,0.8045896811213336,-0.04109270609302418,-0.06852441196888659,16204587.5,0.0008268916570199642,1187.03450099,0.7748300041179543,16.60080493912735
2017-03-09,-0.0014730758320582378,0.20092126809890232,-0.007331607280783858,-0.06467365360139854,16206487.5,0.00047232556402119835,1178.3316302,0.5451493268300542,16.600922183001686
2017-03-10,-0.02505294152325926,1.6306791866103056,-0.015363501128224266,-0.07839696864953394,16208387.5,0.0020648533703923355,1160.22833087,10.053721431349269,16.601039413131506
2017-03-11,5.610118613723675e-05,0.0906737659446879,0.0006187146365075336,-0.0898691743766642,16210287.5,0.0004532175627791919,1160.94618112,0.7277978128453972,16.60115662952003
2017-03-12,-0.011773591887460935,-0.2860040531924959,0.04116582179881445,-0.023560655094949645,16212187.5,0.0003573798116898167,1208.73748473,-0.5992720894187712,16.601273832170488
2017-03-13,-0.007666395347488814,-0.3495142618271041,0.02193442781823074,0.04061882684099527,16214068.75,0.00034768342539931565,1235.25044984,-0.5795296488389636,16.60138986468362
2017-03-14,-0.0026019905984189327,-0.31124595105920516,0.008359917902752034,0.057068324626562195,16215950.0,0.0003543114346578523,1245.57704219,-0.24985759474591862,16.601505883734774
2017-03-15,-0.003330190557410495,-0.6494868135002623,0.005127418275766349,0.07906659695269824,16217793.75,0.00024235727040615497,1251.96363668,-0.8826273701167916,16.60161957705468
2017-03-16,-0.0317248421915988,0.7358214905984584,-0.04311486222806071,0.031904334974655946,16219637.5,0.0009400057652459865,1197.98539697,1.0740717978397458,16.601733257449887
2017-03-17,-0.05921275166187633,0.9110328381167907,-0.06499518917921321,-0.07331234150465205,16221581.25,0.0010297746540769569,1120.12210946,1.8814572630944717,16.60185308956947
2017-03-18,-0.1068959861284366,1.1063451286322952,-0.09662083138612032,-0.18081796276935658,16223525.0,0.0013124523991241113,1011.89497999,2.7748489092246924,16.601972907331035
2017-03-19,-0.0005114204653772345,0.4697841004145351,-0.001088628723121876,-0.18849387246829652,16225406.25,0.0007520219354507688,1010.79340205,1.1224884716943255,16.60208885876177
2017-03-20,-0.0023264174845832692,-0.09488159396551854,0.02451916528118958,-0.17283762706864314,16227287.5,0.0004620557215209258,1035.57721254,0.9065065419600935,16.60220479674933
2017-03-21,0.012949037461636531,0.2728715861261186,0.04745469341630759,-0.0945463822735031,16229168.75,0.0006855246603495943,1084.72021167,-0.2707229192682643,16.602320721296827
2017-03-22,-0.023094767292574817,0.5268334193313509,-0.043836944364475494,-0.07405685206945045,16231050.0,0.000894659085924817,1037.1693921,-0.1312088694523671,16.602436632407386
2017-03-23,0.000146484024308622,-0.38569435188957346,-0.00037979302416790706,0.024588028305314813,16233075.0,0.00036450243671393124,1036.7754824,-0.7222737853523766,16.602561385500383
2017-03-24,-0.03333997283072923,0.5748544834778144,-0.05799723893432229,-0.033783397235027546,16235100.0,0.000989979555610991,976.645367026,0.316423775614455,16.60268612303199
2017-03-25,-0.021473352770242173,0.3921711460661612,-0.05475505524983093,-0.10854634032482446,16236968.75,0.0008318939100563336,923.169095995,0.8004190215804055,16.602801221950784
