date,RV_Bitcoin,V_Bitcoin,R_Bitcoin
2013-12-27,0.0,0.0,0.0
2013-12-28,-0.0,0.0,-0.009849402097759419
2013-12-29,0.0,0.0,0.02365937100696569
2013-12-30,0.0,0.0,0.014871485135225848
2013-12-31,-0.0,0.0,-0.0028037506777934817
2014-01-01,0.0,0.0,0.02306335459741904
2014-01-02,0.0,0.0,0.040173710137412444
2014-01-03,0.0,0.0,0.02035169929834635
2014-01-04,0.0,0.0,0.04982167285518857
2014-01-05,0.0,0.0,0.08611883515025998
2014-01-06,0.0,0.0,0.02116696838880383
2014-01-07,-0.0,0.0,-0.15870301796934827
2014-01-08,0.0,0.0,0.05077306733167086
2014-01-09,0.0,0.0,0.004912663755458402
2014-01-10,0.0,0.0,0.025529603476371454
2014-01-11,0.0,0.0,0.052355840088430305
2014-01-12,-0.0,0.0,-0.05550631872640732
2014-01-13,-0.0,0.0,-0.02550914019601025
2014-01-14,-0.0,0.0,-0.009427009034712386
2014-01-15,0.0,0.0,0.03315852004752351
2014-01-16,-0.0,0.0,-0.029353002671622663
2014-01-17,-0.0,0.0,-0.025118772662542033
2014-01-18,0.0,0.0,0.031130315231267858
2014-01-19,0.0,0.0,0.03685714285714292
2014-01-20,-0.0,0.0,-0.0008726003490401313
2014-01-21,-0.0,0.0,-0.007228223396920308
2014-01-22,-0.0,0.0,-0.021205912652938363
2014-01-23,-0.0,0.0,-0.02785037666008361
2014-01-24,-0.0,0.0,-0.030375650819911337
2014-01-25,0.0,0.0,0.07093479870023955
2014-01-26,0.0,0.0,0.03710125232834671
2014-01-27,-0.0,0.0,-0.1286485631664558
2014-01-28,0.0,0.0,0.05330636902215491
2014-01-29,0.0,0.0,0.016602872580029793
2014-01-30,-0.0,0.0,-0.008438256658595655
2014-01-31,0.0,0.0,0.013296216255814786
2014-02-01,0.0,0.0,0.0032051282051281937
2014-02-02,-0.0,0.0,-0.008659828484950394
2014-02-03,-0.0,0.0,-0.0018658298702399767
2014-02-04,0.0,0.0,0.005013170192879501
2014-02-05,-0.0,0.0,-0.019384994444176074
2014-02-06,-0.0,0.0,-0.037393307139953924
2014-02-07,-0.0,0.0,-0.08847802443861552
2014-02-08,-0.0,0.0,-0.05401459854014601
2014-02-09,0.0,0.0,0.013325023741690423
2014-02-10,-0.0,0.0,-0.002738321862644666
2014-02-11,-0.0,0.0,-0.013009705886671719
2014-02-12,-0.0,0.0,-0.03042385110909429
2014-02-13,-0.0,0.0,-0.07131897133738418
2014-02-14,0.0,0.0,0.09376445707487946
2014-02-15,0.0032728105918831433,-0.19571525598199813,-0.0167223069834892
2014-02-16,-0.010205240674916847,0.19372397958929355,-0.052679284704725604
2014-02-17,-0.00044658743419613177,-0.02856630804443583,0.01563336198368548
2014-02-18,-0.00026947869707228734,-0.5114134048953218,0.0005269292797036584
2014-02-19,0.0050423210740633655,-0.8850191554644411,-0.005697414618576535
2014-02-20,-0.03567167855839626,0.3322548346873617,-0.10736240630467231
2014-02-21,0.0113612386243034,0.35063480846393347,0.03240191318732699
2014-02-22,-0.0036986955213618436,-0.06793483750944063,0.054444754075519075
2014-02-23,-4.4103562947640036e-05,-0.06675294769938489,0.0006606983581647352
2014-02-24,-0.05381610830411713,0.5479474745008446,-0.09821399095440886
2014-02-25,-0.01873906722176681,1.3452729572398958,-0.013929565090057161
2014-02-26,0.05578834774560742,0.6833501776724908,0.08163947207217248
2014-02-27,0.0017103605303561286,-0.25423723914112273,-0.006727419382519084
2014-02-28,0.007994238127714383,-0.15678838363867342,-0.050987438879002034
2014-03-01,-0.01629646075770229,-0.547461408915936,0.029767323307723137
2014-03-02,0.014389418337661171,-1.3984190560076382,-0.010289775640459076
2014-03-03,0.21430410650350806,1.1110984141854097,0.1928758998910307
2014-03-04,-0.0008695716197714696,0.5925154538965209,-0.001467593147238544
2014-03-05,0.0006179843925807962,-0.3244564041614453,-0.001904676205045086
2014-03-06,0.0016843972063672256,-0.6793837483693714,-0.0024793015882556
2014-03-07,-0.004137945876991989,0.0791419403601239,-0.05228512035670174
2014-03-08,0.009707244266253637,-0.5219925410353419,-0.018596519113089016
2014-03-09,-0.022472201095203065,-0.7111973637228672,0.03159770021864117
2014-03-10,0.006029044989874269,-0.4187852232006861,-0.014396508414971199
2014-03-11,-0.009808091743355701,-0.9742756195508235,0.010067060641297365
2014-03-12,0.0016050845493071092,-0.5063682405776788,-0.003169797038368727
2014-03-13,-0.009238441967679123,-0.9668243655248432,0.009555450087011419
2014-03-14,0.013806710466208605,-0.9433205799685567,-0.014636286708245905
2014-03-15,-0.022661619403581107,-1.9466702569633654,0.011641221374045774
2014-03-16,0.013622656805500706,-1.7296695503223791,-0.007875872476891144
2014-03-17,0.0093286514594183,-0.6736161581868956,-0.01384861593066189
2014-03-18,0.0017260948542170641,-0.142476081487942,-0.0121149798351462
2014-03-19,0.0051502200030078,-0.6409938794431724,-0.00803474131060622
2014-03-20,0.008987380213090564,-0.25953188059478194,-0.03462919542868392
2014-03-21,-0.010850391888027429,0.36969821943946357,-0.029349321466786593
2014-03-22,0.004704966590349418,-0.4168746289486478,-0.011286286724177197
2014-03-23,0.007064581220148855,-1.0588251916798264,-0.006672094011043406
2014-03-24,-0.006405098469580593,-0.16237532150051948,0.03944625581271044
2014-03-25,-0.0005599499300643985,-0.6405497817625623,0.0008741708232631318
2014-03-26,0.0026123100783106133,-0.4936505180994111,-0.00529182079736934
2014-03-27,-0.159097938853773,0.8432234311929641,-0.18867827075047783
2014-03-28,0.04113348641903028,0.7934402022146472,0.05184194890077243
