date,RV_Bitcoin,V_Bitcoin,R_Bitcoin,R5_Bitcoin,btc_tot,turnover,turnover_pct_change,log_btc_tot
2012-11-04,-0.0002633644511080163,0.07546645377390604,-0.00348982147613619,-0.01457935877875749,10323175.0,0.00019474689063296902,-0.27943050758982035,16.149901925740345
2012-11-05,0.00909235962310586,1.0599420457195539,0.008578166759045214,-0.02246548029515205,10331000.0,0.0005354042402884523,0.802512262469049,16.15065964183158
2012-11-06,0.0023984588710297926,0.5523233256294855,0.004342490638606034,-0.024861312142041347,10338325.0,0.00032393185659572514,0.9321531117374053,16.15136842165934
2012-11-07,0.0025618647507544045,0.693837533201668,0.003692312145370469,0.00015718475408399435,10345650.0,0.0003893423306703784,0.6199721036302162,16.152076699474044
2012-11-08,-0.0036750868807036577,0.3803493289701798,-0.009662398749734069,0.0033605110477985534,10353325.0,0.0002830394582706522,0.8563223931222104,16.152818282122627
2012-11-09,0.0023796044779798293,0.1351299926174061,0.017609743269336287,0.024605121009799502,10361000.0,0.0002260959737216485,0.16097347170364706,16.15355931523389
2012-11-10,-0.0006958800388476647,-0.6580395763484503,0.0010575048429597445,0.016964950950034918,10368300.0,0.00010362777122961335,-0.8064494760561043,16.154263632340765
2012-11-11,0.005374272337263246,-1.1472967301951247,-0.004684291513974093,0.007824721242937427,10375600.0,6.271236682987009e-05,-0.8064025950120224,16.15496745373417
2012-11-12,-0.006939625969058163,-0.6033929325129606,0.011501006384275314,0.015665565493078404,10382525.0,0.00011040837688327261,-0.7164233935386142,16.155634662382052
2012-11-13,0.0010345806569882308,0.19984179361254917,0.005176998456059012,0.03088448148250511,10389450.0,0.0002469441384173368,-0.12752751886205127,16.15630142615936
2012-11-14,-0.0002515614572327236,-0.46845270876125156,0.0005370050221247258,0.013589029044207557,10396450.0,0.0001245197164907252,-0.4492616810415915,16.156974959685897
2012-11-15,0.0009255036687508412,0.16462800311386694,0.0056217876135611355,0.01821044881215861,10403450.0,0.00023575417842254252,1.2750096390683723,16.157648039870345
2012-11-16,0.022061636721687768,1.2369631958515894,0.01783532185571568,0.0412480693789099,10410500.0,0.0006814707430363575,9.866608573155796,16.158325470177385
