date,RV_Bitcoin,V_Bitcoin,R_Bitcoin,R5_Bitcoin
2011-12-22,0.0,0.0,0.0,0.0
2011-12-23,0.0,0.0,0.0005827622491410001,0.0
2011-12-24,0.0,0.0,0.03433687490848869,0.0
2011-12-25,-0.0,0.0,-0.00601016981755198,0.0
2011-12-26,-0.0,0.0,-0.001852979464901372,0.0
2011-12-27,0.0,0.0,0.0034134407049268845,0.03031825455524939
2011-12-28,-0.0,0.0,-0.009921683679637194,0.019501635677985796
2011-12-29,0.0,0.0,0.018844237842889244,0.004231205692840634
2011-12-30,-0.0,0.0,-0.026670889010300014,-0.016642387089900734
2011-12-31,0.0,0.0,0.05429091065311642,0.03866962670175833
2012-01-01,0.0,0.0,0.09739851489251672,0.13595698399824863
2012-01-02,0.0,0.0,0.02108959836777724,0.17153748489783727
2012-01-03,0.0,0.0,0.055928135554,0.2141791121858967
2012-01-04,0.0,0.0,0.003396810537791284,0.2516870551114423
2012-01-05,0.0,0.0,0.17027406817625157,0.3893858775291812
2012-01-06,0.0,0.0,0.06067439796184737,0.3428904898138079
2012-01-07,0.0,0.0,0.03409910511222547,0.3599999999999999
2012-01-08,0.0,0.0,0.01764705882352935,0.31069525794373765
2012-01-09,-0.0,0.0,-0.04255343630057806,0.25067237367712836
2012-01-10,0.0,0.0,0.001211372085331952,0.06999500145286341
2012-01-11,0.0,0.0,0.06310906638441915,0.072451064357137
2012-01-12,0.0,0.0,0.03041758045783438,0.06863300183823529
2012-01-13,-0.0,0.0,-0.03067068953797214,0.0178944476156071
2012-01-14,-0.0,0.0,-0.08519370965573314,-0.027437896912656412
2012-01-15,0.0,0.0,0.10960411773547163,0.07785323302062075
2012-01-16,-0.0,0.0,-0.04082667139300711,-0.027523980411282456
2012-01-17,-0.0,0.0,-0.10642778392794572,-0.15667437320438826
2012-01-18,0.0,0.0,0.0038449701714338147,-0.12664542427595382
2012-01-19,0.0,0.0,0.016132261245749513,-0.029910737096235374
2012-01-20,0.0,0.0,0.0804548963249545,-0.055394913173426596
2012-01-21,-0.0,0.0,-0.06838172493056227,-0.08253145144347473
2012-01-22,-0.0,0.0,-0.019472109560243922,0.006749632856102528
2012-01-23,0.0,0.0,0.039044562227439794,0.04205107623835791
2012-01-24,0.0,0.0,0.005270466011255692,0.030912225671691607
2012-01-25,-0.0,0.0,-0.03210938756395687,-0.07649058848535284
2012-01-26,-0.0,0.0,-0.01442881385844974,-0.023007286915302516
2012-01-27,-0.0,0.0,-0.06643831167246583,-0.06980415793987349
2012-01-28,-0.0,0.0,-0.14443536265420232,-0.2340630063385709
2012-01-29,0.0,0.0,0.12466097266802434,-0.14309683471389245
2012-01-30,0.0,0.0,0.002460564532295262,-0.1124909986881556
2012-01-31,0.0,0.0,0.04474051192858175,-0.05920889184904454
2012-02-01,0.0,0.0,0.020970735778175653,0.02887704359763088
2012-02-02,0.0,0.0,0.04033973663477153,0.2510821811038695
2012-02-03,-0.0,0.0,-0.00500250628053045,0.10684345317180566
2012-02-04,-0.0,0.0,-0.013354728137715544,0.08938136661085982
2012-02-05,-0.0,0.0,-0.028395192407657865,0.013120637149162784
2012-02-06,-0.0,0.0,-0.053308249720980805,-0.0605872278057924
2012-02-07,0.0,0.0,0.021418417402420564,-0.0776729242640779
2012-02-08,0.0,0.0,0.008108760864310671,-0.06551924874104864
2012-02-09,0.0,0.0,0.011308192630159697,-0.04216027121926624
2012-02-10,0.017108813743479303,0.9582455496867794,0.01785431067128007,0.0034339983224305204
2012-02-11,0.07440477599278324,-1.2175479125164745,-0.06111034746796995,-0.004835736926932621
2012-02-12,0.0035479555780934527,0.09510921737147626,0.03730401401828276,0.010641542296115025
2012-02-13,-4.076480611575181e-05,0.45070578347154466,-9.044660088841638e-05,0.0024217350690354245
2012-02-14,-0.0638896880391954,0.6492985595370069,-0.09839801290295946,-0.10632047200469574
2012-02-15,-0.004943516726085553,0.12159768672773374,-0.04065469384425424,-0.15769157589522542
2012-02-16,-0.03521762552219817,0.5384941380845572,-0.06540020221476972,-0.16154014402213002
2012-02-17,0.019834521200733243,1.1931110817896968,0.016624203314733244,-0.17825577499417244
2012-02-18,-0.0765902384690458,1.2110937670122706,-0.06324055209861368,-0.2301537034866622
2012-02-19,-0.005422095648757934,0.302925648785191,-0.017899097255388963,-0.1614185043949241
2012-02-20,0.07237072120379606,1.3697389493155043,0.05283541162347882,-0.07969707211777455
2012-02-21,-0.03459288262946256,1.4682054097296913,-0.02356133712641162,-0.03849822943523673
2012-02-22,0.0010487584855897473,0.05649943639523691,0.018562282254521056,-0.03666523517243592
2012-02-23,0.17547646264390096,2.060602388918504,0.08515784684496985,0.11594313944003276
2012-02-24,-0.021285997890361275,-0.45687715996600886,0.046590199194779025,0.18922113739295154
2012-02-25,-0.009936298599618122,0.37758012657190676,-0.026315735125762352,0.0998166438473338
2012-02-26,0.007771055981846691,-0.44135266099345216,-0.017607361796243892,0.10652293417990188
2012-02-27,0.0321462322633478,1.1868632240517112,0.027085035252509604,0.1157816921556547
2012-02-28,-0.010111232047488197,1.5028349648770476,-0.006728105403320472,0.02130265983513535
2012-02-29,-0.014315449850228064,0.9157058961503797,-0.01563323978846276,-0.039417346702826817
2012-03-01,0.011115378818977579,1.05090269534284,0.010576981930140894,-0.0030210472910471298
2012-03-02,-0.04482957146050557,0.8798833279617586,-0.050949449814389425,-0.03685819010009772
2012-03-03,-0.0032202774432868887,0.26202966157007346,-0.01228974393200788,-0.07378161395162108
