"","name","date","open","high","low","close","volume","market"
"1","Bitcoin","2013-04-28",135.3,135.98,132.1,134.21,0,1500520000
"2","Bitcoin","2013-04-29",134.44,147.49,134,144.54,0,1491160000
"3","Bitcoin","2013-04-30",144,146.93,134.05,139,0,1597780000
"4","Bitcoin","2013-05-01",139,139.89,107.72,116.99,0,1542820000
"5","Bitcoin","2013-05-02",116.38,125.6,92.28,105.21,0,1292190000
"6","Bitcoin","2013-05-03",106.25,108.13,79.1,97.75,0,1180070000
"7","Bitcoin","2013-05-04",98.1,115,92.5,112.5,0,1089890000
"8","Bitcoin","2013-05-05",112.9,118.8,107.14,115.91,0,1254760000
"9","Bitcoin","2013-05-06",115.98,124.66,106.64,112.3,0,1289470000
"10","Bitcoin","2013-05-07",112.25,113.44,97.7,111.5,0,1248470000
"11","Bitcoin","2013-05-08",109.6,115.78,109.6,113.57,0,1219450000
"12","Bitcoin","2013-05-09",113.2,113.46,109.26,112.67,0,1259980000
"13","Bitcoin","2013-05-10",112.8,122,111.55,117.2,0,1255970000
"14","Bitcoin","2013-05-11",117.7,118.68,113.01,115.24,0,1311050000
"15","Bitcoin","2013-05-12",115.64,117.45,113.44,115,0,1288630000
"16","Bitcoin","2013-05-13",114.82,118.7,114.5,117.98,0,1279980000
"17","Bitcoin","2013-05-14",117.98,119.8,110.25,111.5,0,1315720000
"18","Bitcoin","2013-05-15",111.4,115.81,103.5,114.22,0,1242760000
"19","Bitcoin","2013-05-16",114.22,118.76,112.2,118.76,0,1274620000
"20","Bitcoin","2013-05-17",118.21,125.3,116.57,123.02,0,1319590000
"21","Bitcoin","2013-05-18",123.5,125.25,122.3,123.5,0,1379140000
"22","Bitcoin","2013-05-19",123.21,124.5,119.57,121.99,0,1376370000
"23","Bitcoin","2013-05-20",122.5,123.62,120.12,122,0,1368910000
"24","Bitcoin","2013-05-21",122.02,123,121.21,122.88,0,1363940000
"25","Bitcoin","2013-05-22",122.89,124,122,123.89,0,1374130000
"26","Bitcoin","2013-05-23",123.8,126.93,123.1,126.7,0,1384780000
"27","Bitcoin","2013-05-24",126.3,133.85,125.72,133.2,0,1413300000
"28","Bitcoin","2013-05-25",133.1,133.22,128.9,131.98,0,1489950000
"29","Bitcoin","2013-05-26",131.99,136,130.62,133.48,0,1478030000
"30","Bitcoin","2013-05-27",133.5,135.47,124.7,129.75,0,1495520000
"31","Bitcoin","2013-05-28",129.77,130.58,125.6,129,0,1454310000
"32","Bitcoin","2013-05-29",129,132.59,127.66,132.3,0,1446190000
"33","Bitcoin","2013-05-30",132.25,132.25,127,128.8,0,1483180000
"34","Bitcoin","2013-05-31",128.8,129.9,126.4,129,0,1445050000
"35","Bitcoin","2013-06-01",128.81,129.78,127.2,129.3,0,1445800000
"36","Bitcoin","2013-06-02",129.3,129.4,115.05,122.29,0,1451930000
"37","Bitcoin","2013-06-03",122.5,122.5,116,122.22,0,1376180000
"38","Bitcoin","2013-06-04",120.74,123.84,119.1,121.42,0,1357020000
"39","Bitcoin","2013-06-05",121.4,123.47,119.9,121.65,0,1365110000
"40","Bitcoin","2013-06-06",121.9,123.1,117.25,118,0,1371300000
"41","Bitcoin","2013-06-07",118.97,119,106.42,111.5,0,1338880000
"42","Bitcoin","2013-06-08",111,111.42,107.3,108.3,0,1249630000
"43","Bitcoin","2013-06-09",107.89,108.99,88.5,100,0,1215130000
"44","Bitcoin","2013-06-10",100.44,110.1,95,106.35,0,1131570000
"45","Bitcoin","2013-06-11",106.35,109.6,104,108.9,0,1198640000
"46","Bitcoin","2013-06-12",109,111.79,106.73,108.15,0,1.229e+09
"47","Bitcoin","2013-06-13",108.78,110.3,100.53,104,0,1227030000
"48","Bitcoin","2013-06-14",103.95,104.7,98,99.98,0,1173060000
"49","Bitcoin","2013-06-15",100,103.7,98,99.99,0,1128950000
"50","Bitcoin","2013-06-16",99.8,101.6,98.95,99.51,0,1127120000
"51","Bitcoin","2013-06-17",99.9,102.21,99,101.7,0,1128720000
"52","Bitcoin","2013-06-18",101.95,111.11,101.03,107.4,0,1152250000
"53","Bitcoin","2013-06-19",107.05,110.22,105.75,108.25,0,1210260000
"54","Bitcoin","2013-06-20",108.25,114.3,107.5,110.15,0,1224210000
"55","Bitcoin","2013-06-21",111.29,114.99,107.69,109.5,0,1.259e+09
"56","Bitcoin","2013-06-22",109.5,109.96,107.51,108.3,0,1239210000
"57","Bitcoin","2013-06-23",108.2,108.8,106.23,107.6,0,1224980000
"58","Bitcoin","2013-06-24",107.9,108.33,100.98,102.74,0,1222030000
"59","Bitcoin","2013-06-25",102.09,106.47,101.01,103.95,0,1156610000
"60","Bitcoin","2013-06-26",103.33,105.49,102.79,104,0,1171050000
"61","Bitcoin","2013-06-27",104,104,101.1,101.44,0,1179110000
"62","Bitcoin","2013-06-28",101.74,101.74,92.33,94.65,0,1153880000
"63","Bitcoin","2013-06-29",94.66,99.99,93,94.99,0,1074010000
"64","Bitcoin","2013-06-30",95,98.12,94.22,96.61,0,1078260000
"65","Bitcoin","2013-07-01",97.51,97.66,86.3,88.05,0,1107130000
"66","Bitcoin","2013-07-02",88.05,92.3,87.51,90.13,0,1000070000
"67","Bitcoin","2013-07-03",90.41,90.98,76.98,77.53,0,1027160000
"68","Bitcoin","2013-07-04",78.89,83.11,72,80.53,0,896693000
"69","Bitcoin","2013-07-05",79.99,80,65.53,68.43,0,909526000
"70","Bitcoin","2013-07-06",68.5,75,66.82,70.28,0,779255000
"71","Bitcoin","2013-07-07",68.75,74.56,66.62,74.56,0,782352000
"72","Bitcoin","2013-07-08",76.5,80,72.6,76.52,0,870912000
"73","Bitcoin","2013-07-09",76,78.3,72.52,76.69,0,865585000
"74","Bitcoin","2013-07-10",76.72,87,76.2,86.76,0,874138000
"75","Bitcoin","2013-07-11",88,90.28,85.08,88.98,0,1003090000
"76","Bitcoin","2013-07-12",88.98,104,88.17,93.59,0,1014640000
"77","Bitcoin","2013-07-13",93.99,98.25,88.06,98.13,0,1072140000
"78","Bitcoin","2013-07-14",98.7,98.7,92.86,94.69,0,1126260000
"79","Bitcoin","2013-07-15",93.61,101.9,93.11,98.4,0,1068520000
"80","Bitcoin","2013-07-16",98.89,99.86,96.14,97.45,0,1129260000
"81","Bitcoin","2013-07-17",96.71,99.97,96.18,98.5,0,1104760000
"82","Bitcoin","2013-07-18",98.5,98.8,86.2,90.58,0,1125660000
"83","Bitcoin","2013-07-19",90.07,95.2,87.8,92.17,0,1029670000
"84","Bitcoin","2013-07-20",92,93.1,89.27,89.39,0,1052140000
"85","Bitcoin","2013-07-21",89.82,91.95,88,90.76,0,1027640000
"86","Bitcoin","2013-07-22",92,92,90.08,91.61,0,1.053e+09
"87","Bitcoin","2013-07-23",91.6,96.82,91.6,95.56,0,1048820000
"88","Bitcoin","2013-07-24",95.56,95.99,93,94.51,0,1094490000
"89","Bitcoin","2013-07-25",94.5,97.33,93.87,96.9,0,1082800000
"90","Bitcoin","2013-07-26",96.95,97.47,96,96.02,0,1111160000
"91","Bitcoin","2013-07-27",96.02,97,93,94.12,0,1100900000
"92","Bitcoin","2013-07-28",94.4,100.58,94,99.76,0,1082750000
"93","Bitcoin","2013-07-29",98.6,102.5,98.45,101.2,0,1131340000
"94","Bitcoin","2013-07-30",101.49,107.99,100.47,107.99,0,1164940000
"95","Bitcoin","2013-07-31",107.95,111.34,103.88,106.09,0,1239630000
"96","Bitcoin","2013-08-01",106.21,108,103.01,104,0,1220190000
"97","Bitcoin","2013-08-02",104.86,108,101.21,104.5,0,1205070000
"98","Bitcoin","2013-08-03",104.5,105.78,102,104,0,1201490000
"99","Bitcoin","2013-08-04",104.95,105.95,103.52,105.14,0,1207100000
"100","Bitcoin","2013-08-05",105.12,107.77,105,106.22,0,1209520000
"101","Bitcoin","2013-08-06",106.72,107.38,105.56,106.75,0,1228440000
"102","Bitcoin","2013-08-07",106.75,106.75,106.75,106.75,0,1229100000
"103","Bitcoin","2013-08-08",106.75,106.75,101.26,103,0,1229100000
"104","Bitcoin","2013-08-09",103.07,105.75,101.94,102.8,0,1187920000
"105","Bitcoin","2013-08-10",102.8,103.9,102.41,103,0,1185310000
"106","Bitcoin","2013-08-11",103,105.19,102.75,105,0,1188150000
"107","Bitcoin","2013-08-12",105,108,103.5,106.64,0,1211790000
"108","Bitcoin","2013-08-13",106.99,109.35,104.65,109,0,1235340000
